TransactionID,UserID,CourseID,TransactionDate,Amount,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherID,Expertise,YearsOfExperience,TeacherRating,RatingTier_x,RatingTier_y,RatingTier
TR00100,U0067,C044,2023-11-29,4486,Design,Recorded,Advanced,4486,17,3.95,T022,Business,10,3.57,Low,Low,Low
TR00101,U0192,C009,2023-02-27,4486,Business,Recorded,Beginner,4486,32,3.86,T030,Programming,5,4.53,High,High,High
TR00102,U0021,C038,2023-08-23,5175,Marketing,Recorded,Advanced,5175,15,4.33,T021,Business,10,4.47,Mid,Mid,Mid
TR00103,U0095,C024,2023-02-02,7530,Design,Recorded,Beginner,7530,17,4.95,T004,Programming,3,4.15,Mid,Mid,Mid
TR00104,U0053,C028,2023-11-20,8576,Marketing,Recorded,Advanced,8576,9,4.22,T025,Design,14,3.89,Low,Low,Low
TR00105,U0192,C008,2024-02-15,8419,Marketing,Recorded,Advanced,8419,28,4.07,T013,Business,10,3.97,Low,Low,Low
TR00106,U0063,C045,2023-10-02,4584,Marketing,Recorded,Intermediate,4584,37,4.29,T021,Business,10,4.47,Mid,Mid,Mid
TR00107,U0117,C050,2023-03-09,9120,Design,Live,Intermediate,9120,10,4.65,T012,Data Science,5,3.64,Low,Low,Low
TR00108,U0155,C023,2023-08-05,4072,Design,Recorded,Intermediate,4072,33,4.72,T008,Programming,12,3.74,Low,Low,Low
TR00109,U0020,C006,2024-08-03,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00110,U0157,C045,2023-11-19,4584,Marketing,Recorded,Intermediate,4584,37,4.29,T021,Business,10,4.47,Mid,Mid,Mid
TR00111,U0028,C011,2023-08-06,7588,Data Science,Live,Beginner,7588,32,3.88,T011,Programming,10,3.64,Low,Low,Low
TR00112,U0117,C034,2024-11-02,4627,Programming,Live,Intermediate,4627,37,4.43,T029,Design,13,4.31,Mid,Mid,Mid
TR00113,U0082,C028,2024-05-26,8576,Marketing,Recorded,Advanced,8576,9,4.22,T025,Design,14,3.89,Low,Low,Low
TR00114,U0098,C041,2024-02-10,2256,Programming,Recorded,Intermediate,2256,29,4.32,T028,Business,8,4.25,Mid,Mid,Mid
TR00115,U0001,C037,2024-10-20,5910,Programming,Live,Intermediate,5910,36,4.45,T019,Design,5,4.02,Mid,Mid,Mid
TR00116,U0001,C017,2024-04-14,5268,Marketing,Live,Beginner,5268,21,3.9,T023,Design,1,4.92,High,High,High
TR00117,U0161,C021,2023-05-27,7619,Marketing,Recorded,Intermediate,7619,17,4.75,T022,Business,10,3.57,Low,Low,Low
TR00118,U0049,C046,2023-09-29,9053,Design,Recorded,Intermediate,9053,38,4.55,T006,Marketing,8,3.57,Low,Low,Low
TR00119,U0108,C030,2023-05-23,1928,Marketing,Live,Intermediate,1928,6,4.68,T003,Business,14,4.49,Mid,Mid,Mid
TR00120,U0106,C041,2023-09-10,2256,Programming,Recorded,Intermediate,2256,29,4.32,T028,Business,8,4.25,Mid,Mid,Mid
TR00121,U0008,C011,2024-07-28,7588,Data Science,Live,Beginner,7588,32,3.88,T011,Programming,10,3.64,Low,Low,Low
TR00122,U0182,C008,2024-07-05,8419,Marketing,Recorded,Advanced,8419,28,4.07,T013,Business,10,3.97,Low,Low,Low
TR00123,U0007,C007,2023-09-27,4141,Programming,Live,Beginner,4141,16,4.64,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00124,U0167,C037,2024-08-21,5910,Programming,Live,Intermediate,5910,36,4.45,T019,Design,5,4.02,Mid,Mid,Mid
TR00125,U0012,C035,2024-03-14,7316,Programming,Live,Beginner,7316,5,4.97,T026,Business,6,3.52,Low,Low,Low
TR00126,U0140,C034,2024-08-20,4627,Programming,Live,Intermediate,4627,37,4.43,T029,Design,13,4.31,Mid,Mid,Mid
TR00127,U0183,C050,2024-02-13,9120,Design,Live,Intermediate,9120,10,4.65,T012,Data Science,5,3.64,Low,Low,Low
TR00128,U0197,C016,2024-01-06,6977,Business,Live,Beginner,6977,31,3.57,T025,Design,14,3.89,Low,Low,Low
TR00129,U0007,C007,2023-08-13,4141,Programming,Live,Beginner,4141,16,4.64,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00130,U0011,C006,2023-05-22,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00131,U0112,C012,2024-06-05,3923,Design,Live,Beginner,3923,30,3.91,T016,Business,7,3.53,Low,Low,Low
TR00132,U0050,C035,2024-05-20,7316,Programming,Live,Beginner,7316,5,4.97,T026,Business,6,3.52,Low,Low,Low
TR00133,U0187,C042,2023-04-04,4376,Design,Live,Beginner,4376,26,4.18,T010,Programming,7,4.01,Mid,Mid,Mid
TR00134,U0019,C001,2023-02-18,2365,Programming,Recorded,Intermediate,2365,15,4.54,T020,Business,1,4.2,Mid,Mid,Mid
TR00135,U0150,C008,2023-04-23,8419,Marketing,Recorded,Advanced,8419,28,4.07,T013,Business,10,3.97,Low,Low,Low
TR00136,U0163,C022,2023-06-06,9647,Business,Live,Advanced,9647,32,3.96,T016,Business,7,3.53,Low,Low,Low
TR00137,U0029,C020,2024-10-04,4709,Programming,Live,Advanced,4709,24,4.21,T011,Programming,10,3.64,Low,Low,Low
TR00138,U0130,C048,2023-06-13,3703,Data Science,Recorded,Beginner,3703,5,4.19,T005,Programming,1,4.6,High,High,High
TR00139,U0121,C034,2024-11-27,4627,Programming,Live,Intermediate,4627,37,4.43,T029,Design,13,4.31,Mid,Mid,Mid
TR00140,U0010,C028,2024-03-08,8576,Marketing,Recorded,Advanced,8576,9,4.22,T025,Design,14,3.89,Low,Low,Low
TR00141,U0105,C008,2024-09-02,8419,Marketing,Recorded,Advanced,8419,28,4.07,T013,Business,10,3.97,Low,Low,Low
TR00142,U0143,C016,2023-03-07,6977,Business,Live,Beginner,6977,31,3.57,T025,Design,14,3.89,Low,Low,Low
TR00143,U0123,C016,2024-01-30,6977,Business,Live,Beginner,6977,31,3.57,T025,Design,14,3.89,Low,Low,Low
TR00144,U0067,C004,2024-01-26,8494,Marketing,Recorded,Intermediate,8494,36,4.87,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00145,U0021,C031,2024-09-02,6029,Data Science,Recorded,Advanced,6029,14,4.46,T027,Marketing,9,4.9,High,High,High
TR00146,U0075,C035,2024-04-24,7316,Programming,Live,Beginner,7316,5,4.97,T026,Business,6,3.52,Low,Low,Low
TR00147,U0186,C007,2024-06-25,4141,Programming,Live,Beginner,4141,16,4.64,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00148,U0119,C023,2023-09-15,4072,Design,Recorded,Intermediate,4072,33,4.72,T008,Programming,12,3.74,Low,Low,Low
TR00149,U0072,C022,2024-07-20,9647,Business,Live,Advanced,9647,32,3.96,T016,Business,7,3.53,Low,Low,Low
TR00150,U0129,C039,2023-01-12,6348,Data Science,Recorded,Intermediate,6348,25,3.64,T005,Programming,1,4.6,High,High,High
TR00151,U0082,C037,2024-11-27,5910,Programming,Live,Intermediate,5910,36,4.45,T019,Design,5,4.02,Mid,Mid,Mid
TR00152,U0199,C023,2023-04-28,4072,Design,Recorded,Intermediate,4072,33,4.72,T008,Programming,12,3.74,Low,Low,Low
TR00153,U0075,C031,2024-11-29,6029,Data Science,Recorded,Advanced,6029,14,4.46,T027,Marketing,9,4.9,High,High,High
TR00154,U0191,C017,2024-07-03,5268,Marketing,Live,Beginner,5268,21,3.9,T023,Design,1,4.92,High,High,High
TR00155,U0021,C026,2023-10-01,2214,Programming,Recorded,Advanced,2214,10,4.69,T004,Programming,3,4.15,Mid,Mid,Mid
TR00156,U0137,C035,2024-10-18,7316,Programming,Live,Beginner,7316,5,4.97,T026,Business,6,3.52,Low,Low,Low
TR00157,U0087,C001,2023-12-15,2365,Programming,Recorded,Intermediate,2365,15,4.54,T020,Business,1,4.2,Mid,Mid,Mid
TR00158,U0159,C017,2023-04-25,5268,Marketing,Live,Beginner,5268,21,3.9,T023,Design,1,4.92,High,High,High
TR00159,U0001,C021,2023-10-28,7619,Marketing,Recorded,Intermediate,7619,17,4.75,T022,Business,10,3.57,Low,Low,Low
TR00160,U0075,C002,2024-03-21,9691,Data Science,Live,Advanced,9691,16,4.3,T024,Business,2,4.83,High,High,High
TR00161,U0142,C024,2023-06-11,7530,Design,Recorded,Beginner,7530,17,4.95,T004,Programming,3,4.15,Mid,Mid,Mid
TR00162,U0105,C001,2024-04-09,2365,Programming,Recorded,Intermediate,2365,15,4.54,T020,Business,1,4.2,Mid,Mid,Mid
TR00163,U0079,C047,2023-01-04,4330,Business,Live,Beginner,4330,39,4.69,T001,Business,12,4.46,Mid,Mid,Mid
TR00164,U0129,C002,2023-09-27,9691,Data Science,Live,Advanced,9691,16,4.3,T024,Business,2,4.83,High,High,High
TR00165,U0185,C004,2024-05-27,8494,Marketing,Recorded,Intermediate,8494,36,4.87,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00166,U0176,C019,2023-07-02,5849,Data Science,Live,Intermediate,5849,37,4.25,T016,Business,7,3.53,Low,Low,Low
TR00167,U0170,C041,2024-06-03,2256,Programming,Recorded,Intermediate,2256,29,4.32,T028,Business,8,4.25,Mid,Mid,Mid
TR00168,U0145,C023,2023-04-19,4072,Design,Recorded,Intermediate,4072,33,4.72,T008,Programming,12,3.74,Low,Low,Low
TR00169,U0011,C016,2024-10-02,6977,Business,Live,Beginner,6977,31,3.57,T025,Design,14,3.89,Low,Low,Low
TR00170,U0005,C006,2023-11-02,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00171,U0153,C027,2024-10-16,2531,Design,Recorded,Beginner,2531,22,4.38,T024,Business,2,4.83,High,High,High
TR00172,U0076,C010,2024-06-03,2810,Data Science,Recorded,Advanced,2810,12,3.81,T011,Programming,10,3.64,Low,Low,Low
TR00173,U0189,C020,2024-09-15,4709,Programming,Live,Advanced,4709,24,4.21,T011,Programming,10,3.64,Low,Low,Low
TR00174,U0139,C040,2023-07-23,7190,Business,Recorded,Beginner,7190,30,4.59,T018,Data Science,12,4.71,High,High,High
TR00175,U0008,C002,2023-06-06,9691,Data Science,Live,Advanced,9691,16,4.3,T024,Business,2,4.83,High,High,High
TR00176,U0075,C013,2024-01-18,6301,Marketing,Live,Advanced,6301,12,3.81,T011,Programming,10,3.64,Low,Low,Low
TR00177,U0088,C039,2023-06-15,6348,Data Science,Recorded,Intermediate,6348,25,3.64,T005,Programming,1,4.6,High,High,High
TR00178,U0096,C005,2024-07-06,5312,Business,Recorded,Advanced,5312,20,4.38,T006,Marketing,8,3.57,Low,Low,Low
TR00179,U0003,C010,2024-06-27,2810,Data Science,Recorded,Advanced,2810,12,3.81,T011,Programming,10,3.64,Low,Low,Low
TR00180,U0195,C005,2023-01-01,5312,Business,Recorded,Advanced,5312,20,4.38,T006,Marketing,8,3.57,Low,Low,Low
TR00181,U0171,C043,2024-09-05,6645,Programming,Live,Intermediate,6645,31,4.87,T029,Design,13,4.31,Mid,Mid,Mid
TR00182,U0022,C031,2023-11-28,6029,Data Science,Recorded,Advanced,6029,14,4.46,T027,Marketing,9,4.9,High,High,High
TR00183,U0188,C025,2024-05-15,1504,Business,Recorded,Advanced,1504,39,3.63,T008,Programming,12,3.74,Low,Low,Low
TR00184,U0176,C006,2023-01-20,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00185,U0123,C044,2023-04-25,4486,Design,Recorded,Advanced,4486,17,3.95,T022,Business,10,3.57,Low,Low,Low
TR00186,U0196,C023,2024-01-07,4072,Design,Recorded,Intermediate,4072,33,4.72,T008,Programming,12,3.74,Low,Low,Low
TR00187,U0016,C006,2023-11-11,2324,Business,Live,Beginner,2324,12,4.59,T021,Business,10,4.47,Mid,Mid,Mid
TR00188,U0026,C049,2023-09-03,9662,Design,Recorded,Beginner,9662,25,4.76,T009,Design,10,3.68,Low,Low,Low
TR00189,U0005,C030,2023-03-01,1928,Marketing,Live,Intermediate,1928,6,4.68,T003,Business,14,4.49,Mid,Mid,Mid
TR00190,U0061,C013,2023-09-04,6301,Marketing,Live,Advanced,6301,12,3.81,T011,Programming,10,3.64,Low,Low,Low
TR00191,U0006,C026,2024-08-03,2214,Programming,Recorded,Advanced,2214,10,4.69,T004,Programming,3,4.15,Mid,Mid,Mid
TR00192,U0033,C049,2023-03-22,9662,Design,Recorded,Beginner,9662,25,4.76,T009,Design,10,3.68,Low,Low,Low
TR00193,U0062,C027,2023-03-29,2531,Design,Recorded,Beginner,2531,22,4.38,T024,Business,2,4.83,High,High,High
TR00194,U0188,C004,2024-05-12,8494,Marketing,Recorded,Intermediate,8494,36,4.87,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00195,U0093,C025,2023-03-12,1504,Business,Recorded,Advanced,1504,39,3.63,T008,Programming,12,3.74,Low,Low,Low
TR00196,U0043,C004,2024-06-29,8494,Marketing,Recorded,Intermediate,8494,36,4.87,T002,Marketing,10,4.28,Mid,Mid,Mid
TR00197,U0119,C031,2023-05-09,6029,Data Science,Recorded,Advanced,6029,14,4.46,T027,Marketing,9,4.9,High,High,High
TR00198,U0057,C030,2023-05-12,1928,Marketing,Live,Intermediate,1928,6,4.68,T003,Business,14,4.49,Mid,Mid,Mid
TR00199,U0044,C036,2024-11-06,2852,Programming,Recorded,Beginner,2852,22,4.41,T019,Design,5,4.02,Mid,Mid,Mid
TR00200,U0079,C044,2024-05-01,4486,Design,Recorded,Advanced,4486,17,3.95,T022,Business,10,3.57,Low,Low,Low
TR00201,U0078,C045,2024-07-16,4584,Marketing,Recorded,Intermediate,4584,37,4.29,T021,Business,10,4.47,Mid,Mid,Mid
TR00202,U0018,C043,2023-06-19,6645,Programming,Live,Intermediate,6645,31,4.87,T029,Design,13,4.31,Mid,Mid,Mid
TR00203,U0084,C020,2023-09-29,4709,Programming,Live,Advanced,4709,24,4.21,T011,Programming,10,3.64,Low,Low,Low
TR00204,U0021,C042,2024-06-24,4376,Design,Live,Beginner,4376,26,4.18,T010,Programming,7,4.01,Mid,Mid,Mid
TR00205,U0160,C016,2024-09-13,6977,Business,Live,Beginner,6977,31,3.57,T025,Design,14,3.89,Low,Low,Low
TR00206,U0006,C021,2024-03-09,7619,Marketing,Recorded,Intermediate,7619,17,4.75,T022,Business,10,3.57,Low,Low,Low
