TransactionID,UserID,CourseID,TransactionDate,Amount
TR00231,U0094,C006,2023-01-08,2324
TR00232,U0147,C047,2023-03-14,4330
TR00233,U0190,C031,2024-12-25,6029
TR00234,U0016,C038,2024-10-08,5175
TR00235,U0091,C047,2023-03-02,4330
TR00236,U0154,C015,2023-08-23,9905
TR00237,U0042,C041,2023-03-11,2256
TR00238,U0013,C036,2023-02-02,2852
TR00239,U0024,C045,2023-12-05,4584
TR00240,U0027,C014,2023-03-14,5186
TR00241,U0152,C026,2024-06-10,2214
TR00242,U0131,C026,2023-09-01,2214
TR00243,U0114,C022,2023-10-13,9647
TR00244,U0047,C049,2024-11-16,9662
TR00245,U0026,C008,2024-05-12,8419
TR00246,U0150,C048,2023-08-08,3703
TR00247,U0152,C017,2024-07-06,5268
TR00248,U0021,C006,2023-05-16,2324
TR00249,U0137,C050,2024-08-07,9120
TR00250,U0076,C010,2024-08-13,2810
TR00251,U0199,C039,2024-04-29,6348
TR00252,U0198,C009,2023-09-06,4486
TR00253,U0018,C009,2024-04-29,4486
TR00254,U0148,C035,2024-02-21,7316
TR00255,U0147,C049,2023-07-14,9662
TR00256,U0169,C021,2023-04-07,7619
TR00257,U0042,C032,2023-04-10,1133
TR00258,U0169,C040,2024-11-05,7190
TR00259,U0039,C001,2024-03-17,2365
TR00260,U0031,C035,2023-12-29,7316
TR00261,U0007,C039,2024-03-09,6348
TR00262,U0075,C004,2024-02-25,8494
TR00263,U0165,C033,2024-04-23,3105
TR00264,U0045,C013,2023-02-25,6301
TR00265,U0144,C020,2024-11-20,4709
TR00266,U0091,C023,2024-10-31,4072
TR00267,U0094,C044,2024-10-23,4486
TR00268,U0093,C018,2023-04-11,5748
TR00269,U0047,C031,2023-03-04,6029
TR00270,U0200,C007,2024-02-17,4141
TR00271,U0117,C044,2023-12-14,4486
TR00272,U0049,C031,2023-04-22,6029
TR00273,U0042,C029,2023-09-12,1823
TR00274,U0183,C048,2023-07-16,3703
TR00275,U0154,C023,2023-07-14,4072
TR00276,U0171,C049,2024-07-03,9662
TR00277,U0169,C008,2024-04-04,8419
TR00278,U0198,C002,2023-05-24,9691
TR00279,U0083,C040,2024-03-08,7190
TR00280,U0120,C042,2023-07-07,4376
TR00281,U0096,C002,2023-10-13,9691
TR00282,U0182,C012,2024-04-18,3923
TR00283,U0127,C011,2023-09-13,7588
TR00284,U0023,C025,2023-03-19,1504
TR00285,U0125,C040,2024-03-29,7190
TR00286,U0089,C009,2024-07-17,4486
TR00287,U0164,C033,2023-04-11,3105
TR00288,U0008,C047,2023-02-21,4330
TR00289,U0127,C036,2024-10-29,2852
TR00290,U0141,C034,2024-07-07,4627
TR00291,U0070,C002,2023-01-16,9691
TR00292,U0003,C005,2023-04-06,5312
TR00293,U0107,C008,2023-08-31,8419
TR00294,U0185,C030,2023-06-20,1928
TR00295,U0094,C042,2024-02-21,4376
TR00296,U0011,C022,2024-05-12,9647
TR00297,U0183,C015,2024-05-07,9905
TR00298,U0063,C037,2023-08-07,5910
TR00299,U0048,C039,2024-02-15,6348
TR00300,U0122,C018,2023-03-02,5748
TR00301,U0155,C007,2023-06-18,4141
TR00302,U0131,C003,2024-01-24,9702
TR00303,U0049,C017,2023-01-03,5268
TR00304,U0123,C018,2024-02-04,5748
TR00305,U0075,C043,2023-09-29,6645
TR00306,U0059,C048,2024-04-10,3703
TR00307,U0101,C038,2023-10-20,5175
TR00308,U0055,C017,2024-03-09,5268
TR00309,U0094,C035,2024-12-14,7316
TR00310,U0154,C010,2024-07-23,2810
TR00311,U0040,C046,2024-11-08,9053
TR00312,U0065,C044,2024-05-13,4486
TR00313,U0195,C017,2023-06-08,5268
TR00314,U0109,C029,2023-07-14,1823
TR00315,U0127,C008,2023-10-31,8419
TR00316,U0030,C016,2023-08-11,6977
TR00317,U0132,C001,2023-03-01,2365
TR00318,U0050,C023,2024-08-16,4072
TR00319,U0148,C031,2024-07-09,6029
TR00320,U0122,C039,2023-03-04,6348
TR00321,U0010,C045,2023-11-18,4584
TR00322,U0190,C005,2023-02-28,5312
TR00323,U0061,C002,2023-02-21,9691
TR00324,U0167,C023,2024-08-21,4072
TR00325,U0006,C047,2024-05-03,4330
TR00326,U0010,C016,2024-05-29,6977
TR00327,U0180,C007,2024-06-27,4141
TR00328,U0082,C047,2023-06-11,4330
TR00329,U0139,C046,2023-02-28,9053
TR00330,U0049,C007,2024-06-04,4141
TR00331,U0111,C022,2023-03-24,9647
TR00332,U0178,C016,2023-07-10,6977
TR00333,U0012,C032,2023-03-12,1133
TR00334,U0111,C005,2024-09-01,5312
TR00335,U0031,C028,2023-03-11,8576
TR00336,U0156,C007,2024-11-22,4141
TR00337,U0165,C040,2023-08-29,7190
TR00338,U0077,C017,2024-02-18,5268
TR00339,U0147,C044,2023-05-03,4486
TR00340,U0180,C011,2024-08-06,7588
TR00341,U0127,C027,2023-09-10,2531
TR00342,U0181,C026,2024-08-15,2214
TR00343,U0141,C048,2024-08-31,3703
TR00344,U0017,C035,2023-02-10,7316
TR00345,U0075,C021,2024-09-26,7619
TR00346,U0053,C040,2023-03-25,7190
TR00347,U0026,C016,2024-03-05,6977
TR00348,U0084,C021,2024-11-04,7619
TR00349,U0032,C012,2024-08-20,3923
TR00350,U0172,C006,2024-08-01,2324
TR00351,U0039,C035,2024-06-19,7316
TR00352,U0082,C024,2023-11-20,7530
TR00353,U0131,C037,2023-09-25,5910
TR00354,U0063,C020,2023-07-29,4709
TR00355,U0092,C050,2024-11-16,9120
TR00356,U0037,C013,2023-11-18,6301
TR00357,U0052,C025,2023-09-02,1504
TR00358,U0178,C038,2023-09-29,5175
TR00359,U0011,C049,2024-02-10,9662
TR00360,U0067,C035,2023-05-15,7316
TR00361,U0164,C035,2024-11-18,7316
TR00362,U0059,C033,2024-10-22,3105
TR00363,U0113,C011,2023-11-04,7588
TR00364,U0088,C024,2024-04-13,7530
TR00365,U0094,C022,2023-11-20,9647
TR00366,U0052,C010,2023-03-16,2810
TR00367,U0160,C039,2023-01-10,6348
TR00368,U0044,C001,2024-04-14,2365
TR00369,U0002,C019,2024-09-28,5849
TR00370,U0013,C045,2024-07-30,4584
TR00371,U0200,C008,2023-04-13,8419
TR00372,U0118,C042,2023-03-17,4376
TR00373,U0054,C041,2024-07-04,2256
TR00374,U0129,C049,2023-08-07,9662
TR00375,U0141,C026,2024-06-02,2214
TR00376,U0183,C042,2023-09-29,4376
TR00377,U0015,C049,2023-05-16,9662
TR00378,U0183,C006,2023-12-24,2324
TR00379,U0048,C035,2023-03-12,7316
TR00380,U0114,C021,2023-09-08,7619
TR00381,U0022,C025,2024-01-14,1504
TR00382,U0140,C032,2023-10-19,1133
TR00383,U0092,C025,2023-06-11,1504
TR00384,U0054,C002,2024-03-24,9691
TR00385,U0013,C042,2024-07-10,4376
TR00386,U0141,C040,2024-12-21,7190
TR00387,U0089,C028,2023-11-06,8576
TR00388,U0137,C009,2024-09-18,4486
TR00389,U0111,C024,2024-10-31,7530
TR00390,U0021,C031,2024-06-25,6029
TR00391,U0106,C029,2023-01-09,1823
TR00392,U0169,C021,2024-11-14,7619
TR00393,U0095,C036,2024-07-21,2852
TR00394,U0095,C022,2023-11-03,9647
TR00395,U0162,C005,2024-11-10,5312
TR00396,U0052,C016,2023-04-17,6977
TR00397,U0071,C043,2023-05-18,6645
TR00398,U0100,C026,2023-09-28,2214
TR00399,U0178,C042,2023-04-29,4376
TR00400,U0189,C032,2023-04-20,1133
TR00401,U0082,C012,2024-07-20,3923
TR00402,U0070,C002,2023-06-09,9691
TR00403,U0105,C003,2023-10-06,9702
TR00404,U0185,C003,2023-10-16,9702
TR00405,U0036,C014,2024-09-11,5186
TR00406,U0163,C040,2023-08-04,7190
TR00407,U0167,C027,2023-12-18,2531
TR00408,U0159,C038,2023-07-28,5175
TR00409,U0031,C048,2024-12-04,3703
TR00410,U0185,C015,2024-10-11,9905
TR00411,U0184,C036,2023-09-28,2852
TR00412,U0132,C047,2024-06-01,4330
TR00413,U0054,C007,2024-05-15,4141
TR00414,U0198,C041,2023-09-15,2256
TR00415,U0149,C022,2023-02-22,9647
TR00416,U0065,C027,2023-04-05,2531
TR00417,U0028,C043,2024-10-11,6645
TR00418,U0177,C047,2024-03-09,4330
TR00419,U0048,C009,2023-10-11,4486
TR00420,U0004,C028,2023-02-15,8576
TR00421,U0100,C011,2023-01-04,7588
TR00422,U0098,C025,2023-12-08,1504
TR00423,U0111,C039,2023-05-14,6348
TR00424,U0183,C029,2024-10-14,1823
TR00425,U0100,C011,2023-09-26,7588
TR00426,U0043,C025,2023-06-15,1504
TR00427,U0132,C012,2024-03-28,3923
TR00428,U0121,C001,2024-07-18,2365
TR00429,U0137,C040,2024-12-23,7190
TR00430,U0042,C019,2024-03-13,5849
TR00431,U0028,C002,2024-07-28,9691
TR00432,U0107,C036,2023-01-10,2852
TR00433,U0158,C042,2023-04-25,4376
TR00434,U0153,C033,2023-03-19,3105
TR00435,U0037,C004,2024-12-08,8494
TR00436,U0130,C018,2023-06-02,5748
TR00437,U0135,C043,2024-07-12,6645
TR00438,U0053,C006,2023-02-06,2324
TR00439,U0145,C029,2024-01-14,1823
TR00440,U0003,C031,2024-08-19,6029
TR00441,U0042,C043,2024-07-19,6645
TR00442,U0111,C004,2023-06-01,8494
TR00443,U0147,C050,2024-03-16,9120
TR00444,U0101,C001,2023-05-11,2365
TR00445,U0176,C030,2023-02-12,1928
TR00446,U0046,C031,2023-11-12,6029
TR00447,U0097,C040,2024-01-09,7190
TR00448,U0060,C011,2023-02-10,7588
TR00449,U0116,C028,2024-01-02,8576
TR00450,U0168,C017,2023-08-04,5268
TR00451,U0092,C017,2024-11-29,5268
TR00452,U0183,C026,2023-09-13,2214
TR00453,U0186,C014,2024-11-13,5186
TR00454,U0070,C048,2023-04-16,3703
TR00455,U0050,C005,2023-12-29,5312
TR00456,U0083,C043,2024-07-27,6645
TR00457,U0005,C003,2024-02-21,9702
TR00458,U0151,C030,2024-09-27,1928
TR00459,U0128,C008,2023-06-08,8419
TR00460,U0018,C047,2023-08-31,4330
TR00461,U0019,C035,2023-06-16,7316
TR00462,U0082,C021,2023-07-01,7619
TR00463,U0165,C050,2024-02-27,9120
TR00464,U0195,C011,2023-01-26,7588
TR00465,U0074,C025,2023-07-03,1504
TR00466,U0019,C014,2023-12-07,5186
TR00467,U0054,C006,2024-02-26,2324
TR00468,U0011,C037,2024-11-16,5910
TR00469,U0034,C006,2023-09-12,2324
TR00470,U0046,C031,2023-10-01,6029
TR00471,U0022,C047,2023-06-13,4330
TR00472,U0074,C040,2024-12-19,7190
TR00473,U0075,C028,2023-04-21,8576
TR00474,U0005,C039,2024-01-27,6348
TR00475,U0011,C021,2023-02-09,7619
TR00476,U0123,C038,2024-04-26,5175
TR00477,U0009,C014,2023-08-16,5186
TR00478,U0140,C049,2023-07-24,9662
TR00479,U0018,C005,2024-04-16,5312
TR00480,U0005,C020,2023-12-25,4709
TR00481,U0009,C031,2023-11-09,6029
TR00482,U0099,C008,2023-08-22,8419
TR00483,U0130,C032,2023-08-17,1133
TR00484,U0064,C031,2023-01-25,6029
TR00485,U0164,C015,2024-11-06,9905
TR00486,U0102,C014,2023-07-17,5186
TR00487,U0012,C028,2024-02-13,8576
TR00488,U0139,C034,2023-12-03,4627
TR00489,U0115,C031,2023-10-13,6029
TR00490,U0170,C038,2023-03-13,5175
TR00491,U0134,C029,2023-10-13,1823
TR00492,U0028,C048,2023-12-26,3703
TR00493,U0146,C028,2024-10-18,8576
TR00494,U0166,C025,2024-06-05,1504
TR00495,U0085,C029,2024-02-14,1823
TR00496,U0120,C029,2024-11-26,1823
TR00497,U0142,C030,2024-07-03,1928
TR00498,U0058,C009,2023-12-06,4486
TR00499,U0108,C030,2023-01-29,1928
TR00500,U0046,C016,2023-04-29,6977
TR00501,U0134,C026,2023-09-25,2214
TR00502,U0060,C013,2023-07-02,6301
TR00503,U0197,C030,2024-08-17,1928
TR00504,U0052,C035,2023-09-29,7316
TR00505,U0077,C032,2023-02-09,1133
TR00506,U0078,C013,2023-04-22,6301
TR00507,U0021,C017,2024-09-02,5268
TR00508,U0182,C003,2024-03-20,9702
TR00509,U0168,C019,2023-12-20,5849
TR00510,U0187,C037,2023-11-18,5910
TR00511,U0115,C040,2024-03-22,7190
TR00512,U0076,C032,2024-09-12,1133
TR00513,U0043,C038,2024-06-07,5175
TR00514,U0097,C042,2023-04-29,4376
TR00515,U0013,C046,2024-01-30,9053
TR00516,U0180,C029,2024-08-13,1823
TR00517,U0040,C008,2023-07-14,8419
TR00518,U0195,C048,2023-09-18,3703
TR00519,U0013,C042,2023-02-15,4376
TR00520,U0091,C044,2024-12-26,4486
TR00521,U0075,C028,2024-03-22,8576
TR00522,U0185,C048,2023-01-02,3703
TR00523,U0064,C016,2024-06-16,6977
TR00524,U0028,C045,2024-07-05,4584
TR00525,U0032,C018,2024-12-04,5748
TR00526,U0156,C007,2024-11-17,4141
TR00527,U0110,C025,2023-07-21,1504
TR00528,U0153,C024,2024-01-08,7530
TR00529,U0076,C029,2024-03-17,1823
TR00530,U0121,C042,2023-03-13,4376
TR00531,U0157,C045,2024-11-11,4584
TR00532,U0053,C037,2023-12-05,5910
TR00533,U0156,C017,2024-09-30,5268
TR00534,U0168,C002,2023-11-18,9691
TR00535,U0051,C020,2024-11-10,4709
TR00536,U0148,C011,2023-05-08,7588
TR00537,U0160,C036,2023-11-04,2852
TR00538,U0004,C021,2024-06-03,7619
TR00539,U0127,C036,2023-11-13,2852
TR00540,U0034,C018,2024-11-13,5748
TR00541,U0062,C034,2024-02-23,4627
TR00542,U0198,C042,2023-12-01,4376
TR00543,U0128,C034,2024-02-17,4627
TR00544,U0189,C019,2024-12-14,5849
TR00545,U0163,C007,2023-10-30,4141
TR00546,U0150,C019,2024-07-21,5849
TR00547,U0090,C019,2023-05-11,5849
TR00548,U0197,C045,2023-07-16,4584
TR00549,U0120,C035,2024-03-06,7316
TR00550,U0095,C027,2024-11-11,2531
TR00551,U0119,C005,2024-01-24,5312
TR00552,U0099,C027,2024-11-24,2531
TR00553,U0002,C034,2023-06-28,4627
TR00554,U0165,C011,2024-09-22,7588
TR00555,U0104,C048,2024-08-05,3703
TR00556,U0037,C029,2023-11-05,1823
TR00557,U0134,C021,2024-02-20,7619
TR00558,U0072,C006,2024-07-15,2324
TR00559,U0196,C038,2023-01-01,5175
TR00560,U0111,C018,2023-11-08,5748
TR00561,U0058,C038,2023-10-21,5175
TR00562,U0168,C021,2023-08-04,7619
TR00563,U0188,C017,2024-03-16,5268
TR00564,U0189,C043,2024-08-16,6645
TR00565,U0023,C040,2024-09-13,7190
TR00566,U0163,C034,2024-11-01,4627
TR00567,U0018,C028,2023-11-26,8576
TR00568,U0141,C040,2024-04-21,7190
TR00569,U0141,C028,2024-03-28,8576
TR00570,U0139,C006,2024-03-28,2324
TR00571,U0168,C035,2024-11-22,7316
TR00572,U0061,C006,2023-08-07,2324
TR00573,U0124,C025,2024-06-07,1504
TR00574,U0136,C026,2024-04-29,2214
TR00575,U0182,C024,2023-06-23,7530
TR00576,U0130,C032,2024-11-05,1133
TR00577,U0034,C018,2023-03-28,5748
TR00578,U0172,C041,2023-10-18,2256
TR00579,U0176,C041,2024-06-11,2256
TR00580,U0164,C028,2024-11-10,8576
TR00581,U0114,C021,2024-10-10,7619
TR00582,U0017,C046,2024-09-26,9053
TR00583,U0139,C040,2023-12-10,7190
TR00584,U0123,C004,2023-04-06,8494
TR00585,U0012,C016,2023-08-29,6977
TR00586,U0013,C009,2024-11-19,4486
TR00587,U0046,C008,2023-11-14,8419
TR00588,U0102,C033,2023-08-19,3105
TR00589,U0003,C010,2023-07-23,2810
TR00590,U0191,C015,2023-05-31,9905
TR00591,U0151,C038,2023-01-26,5175
TR00592,U0182,C045,2023-02-17,4584
TR00593,U0052,C017,2023-09-08,5268
TR00594,U0125,C002,2024-05-01,9691
TR00595,U0179,C026,2024-09-17,2214
TR00596,U0105,C034,2023-03-16,4627
TR00597,U0160,C039,2024-04-11,6348
TR00598,U0145,C026,2024-02-29,2214
TR00599,U0161,C007,2024-10-06,4141
TR00600,U0033,C035,2024-08-12,7316
TR00601,U0151,C034,2023-07-19,4627
TR00602,U0117,C001,2024-12-14,2365
TR00603,U0175,C038,2024-01-29,5175
TR00604,U0004,C041,2024-05-21,2256
TR00605,U0043,C033,2024-02-14,3105
TR00606,U0099,C017,2023-09-07,5268
TR00607,U0105,C025,2023-06-01,1504
TR00608,U0093,C023,2024-11-02,4072
TR00609,U0143,C046,2024-12-05,9053
TR00610,U0122,C018,2023-01-06,5748
TR00611,U0125,C027,2023-04-20,2531
TR00612,U0040,C034,2024-03-11,4627
TR00613,U0108,C032,2023-08-13,1133
TR00614,U0149,C021,2023-06-30,7619
TR00615,U0134,C014,2024-12-13,5186
TR00616,U0080,C043,2024-06-14,6645
TR00617,U0036,C043,2024-04-20,6645
TR00618,U0019,C038,2023-02-21,5175
TR00619,U0163,C003,2024-07-24,9702
TR00620,U0030,C008,2023-09-13,8419
TR00621,U0172,C047,2023-05-05,4330
TR00622,U0115,C002,2024-04-12,9691
TR00623,U0041,C045,2023-05-17,4584
TR00624,U0108,C042,2024-04-20,4376
TR00625,U0191,C019,2024-11-14,5849
TR00626,U0055,C021,2024-06-27,7619
TR00627,U0140,C040,2024-07-26,7190
TR00628,U0003,C030,2024-09-01,1928
TR00629,U0066,C044,2023-11-21,4486
TR00630,U0119,C017,2024-03-29,5268
TR00631,U0150,C039,2024-09-19,6348
TR00632,U0105,C009,2024-05-31,4486
TR00633,U0199,C049,2024-03-12,9662
TR00634,U0024,C045,2024-07-15,4584
